Date,Open,High,Low,Close,Volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,RSI,RSI_signal,Positive Return
2019-04-21,173.77,174.29,166.2,169.9,29212.2435949,-0.022158273381294946,169.5518035835336,168.76267478373063,1.0,0.0,1.0,0.030150391231993246,0.03281768265207635,1.0,0.0,1.0,168.45149999999998,6.214429113806539,174.66592911380653,162.23707088619344,0.0,0.0,0.0,52.815498003535865,0.0,0.0
2019-04-22,169.84,174.05,168.05,171.56,26074.47389926,0.009770453207769147,169.82672160588714,168.94697129993676,1.0,0.0,1.0,0.028141715995897796,0.0317636060737663,1.0,0.0,1.0,168.7985,6.182903656986655,174.98140365698666,162.61559634301332,0.0,0.0,0.0,54.23207705555362,0.0,1.0
2019-04-23,171.56,176.94,168.84,170.51,35068.20080984,-0.0061203077640475945,169.91956945351757,169.0467728778631,1.0,0.0,1.0,0.026300055150784162,0.030799873402960837,1.0,0.0,1.0,169.25899999999996,5.93295071701479,175.19195071701475,163.32604928298517,0.0,0.0,0.0,53.14522217246586,0.0,0.0
2019-04-24,170.06,171.01,160.22,165.72,51119.21384994,-0.028092194006216653,169.35255700944006,168.84049821162287,1.0,0.0,1.0,0.026564854628095973,0.03071094954836564,1.0,0.0,1.0,169.66949999999997,5.330712873232065,175.00021287323204,164.3387871267679,0.0,0.0,0.0,48.38170844901206,0.0,0.0
2019-04-25,165.6,166.71,146.5,152.09,73004.03616572,-0.08224716389090025,167.0347259560563,167.83012370014256,0.0,-1.0,1.0,0.03750205948033809,0.035707921928898316,0.0,-1.0,1.0,168.988,6.585729868035647,175.57372986803566,162.40227013196434,1.0,0.0,0.0,37.956318620292784,0.0,0.0
2019-04-26,152.09,156.0,148.18,153.05,43774.66277206,0.006312052074429753,165.16601380382966,166.96140880908828,0.0,-1.0,-1.0,0.03558139648401809,0.03475270096282483,0.0,-1.0,-1.0,168.36849999999998,7.461553580998078,175.83005358099805,160.9069464190019,1.0,0.0,1.0,38.954082525442146,0.0,1.0
2019-04-27,153.13,158.27,152.33,155.73,21193.1334655,0.017510617445279264,163.91036764883353,166.3171927917969,0.0,-1.0,-1.0,0.03459445490337236,0.03412884005484682,0.0,-1.0,-1.0,167.4195,7.811347666595124,175.2308476665951,159.6081523334049,1.0,0.0,1.0,41.76941461477643,0.0,1.0
2019-04-28,155.58,156.4,152.38,153.56,13792.47994485,-0.013934373595325122,162.53801690646284,165.60211769964104,0.0,-1.0,-1.0,0.03229077575737771,0.033279772408524824,1.0,0.0,-1.0,166.07049999999998,7.755704504970594,173.82620450497058,158.3147954950294,1.0,0.0,1.0,40.15461693893756,0.0,0.0
2019-04-29,153.25,157.33,149.0,152.29,40991.15380294,-0.008270382912216823,161.18349019191442,164.87199231616603,0.0,-1.0,-1.0,0.030065804585075875,0.03240037856001474,1.0,0.0,1.0,164.89,7.9745635089260505,172.86456350892604,156.91543649107393,1.0,0.0,1.0,39.19947342598222,0.0,0.0
2019-04-30,152.33,161.0,152.29,160.36,33606.43773275,0.05299100400551593,161.07494157516655,164.6295629534612,0.0,-1.0,-1.0,0.03527681791067524,0.033996127912031014,0.0,-1.0,1.0,164.031,7.448137810359418,171.47913781035942,156.5828621896406,0.0,0.0,1.0,47.710840169200864,0.0,1.0
2019-05-01,160.31,163.08,156.75,158.55,32353.7992553,-0.011287104015964111,160.74290117936667,164.30920821771983,0.0,-1.0,-1.0,0.03310234958167073,0.03320484760829135,1.0,0.0,-1.0,163.714,7.543955684415266,171.25795568441526,156.17004431558473,0.0,0.0,0.0,46.15036512240291,0.0,0.0
2019-05-02,158.22,160.51,154.6,158.81,24532.06601073,0.0016398612425101433,160.48923779166446,164.02473428772518,0.0,-1.0,-1.0,0.030862735038282033,0.03237918379332053,1.0,0.0,1.0,163.4335,7.620233644021295,171.0537336440213,155.81326635597873,0.0,0.0,0.0,46.42145303404282,0.0,1.0
2019-05-03,158.67,169.0,157.93,164.52,42707.77819489,0.035954914677917005,161.01727040606218,164.04990961786032,0.0,-1.0,-1.0,0.03154907344657128,0.03259075849570483,1.0,0.0,1.0,163.4745,7.623948055133167,171.09844805513316,155.85055194486685,0.0,0.0,0.0,52.12193320029159,0.0,1.0
